UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 00:23 ?        00:00:01 /sbin/init splash
root           2       0  0 00:23 ?        00:00:00 [kthreadd]
root           3       2  0 00:23 ?        00:00:00 [pool_workqueue_release]
root           4       2  0 00:23 ?        00:00:00 [kworker/R-rcu_g]
root           5       2  0 00:23 ?        00:00:00 [kworker/R-rcu_p]
root           6       2  0 00:23 ?        00:00:00 [kworker/R-slub_]
root           7       2  0 00:23 ?        00:00:00 [kworker/R-netns]
root           9       2  0 00:23 ?        00:00:00 [kworker/0:1-events]
root          10       2  0 00:23 ?        00:00:00 [kworker/0:0H-kblockd]
root          11       2  0 00:23 ?        00:00:00 [kworker/u4:0-events_unbound]
root          12       2  0 00:23 ?        00:00:00 [kworker/R-mm_pe]
root          13       2  0 00:23 ?        00:00:00 [rcu_tasks_kthread]
root          14       2  0 00:23 ?        00:00:00 [rcu_tasks_rude_kthread]
root          15       2  0 00:23 ?        00:00:00 [rcu_tasks_trace_kthread]
root          16       2  0 00:23 ?        00:00:00 [ksoftirqd/0]
root          17       2  0 00:23 ?        00:00:00 [rcu_preempt]
root          18       2  0 00:23 ?        00:00:00 [migration/0]
root          19       2  0 00:23 ?        00:00:00 [idle_inject/0]
root          20       2  0 00:23 ?        00:00:00 [cpuhp/0]
root          21       2  0 00:23 ?        00:00:00 [cpuhp/1]
root          22       2  0 00:23 ?        00:00:00 [idle_inject/1]
root          23       2  0 00:23 ?        00:00:00 [migration/1]
root          24       2  0 00:23 ?        00:00:00 [ksoftirqd/1]
root          26       2  0 00:23 ?        00:00:00 [kworker/1:0H-events_highpri]
root          27       2  0 00:23 ?        00:00:00 [kdevtmpfs]
root          28       2  0 00:23 ?        00:00:00 [kworker/R-inet_]
root          30       2  0 00:23 ?        00:00:00 [kauditd]
root          31       2  0 00:23 ?        00:00:00 [khungtaskd]
root          32       2  0 00:23 ?        00:00:00 [oom_reaper]
root          34       2  0 00:23 ?        00:00:00 [kworker/R-write]
root          35       2  0 00:23 ?        00:00:00 [kcompactd0]
root          36       2  0 00:23 ?        00:00:00 [ksmd]
root          38       2  0 00:23 ?        00:00:00 [khugepaged]
root          39       2  0 00:23 ?        00:00:00 [kworker/R-kinte]
root          40       2  0 00:23 ?        00:00:00 [kworker/R-kbloc]
root          41       2  0 00:23 ?        00:00:00 [kworker/R-blkcg]
root          42       2  0 00:23 ?        00:00:00 [irq/9-acpi]
root          43       2  0 00:23 ?        00:00:00 [kworker/R-tpm_d]
root          44       2  0 00:23 ?        00:00:00 [kworker/R-ata_s]
root          45       2  0 00:23 ?        00:00:00 [kworker/R-md]
root          46       2  0 00:23 ?        00:00:00 [kworker/R-md_bi]
root          47       2  0 00:23 ?        00:00:00 [kworker/R-edac-]
root          48       2  0 00:23 ?        00:00:00 [kworker/R-devfr]
root          49       2  0 00:23 ?        00:00:00 [watchdogd]
root          50       2  0 00:23 ?        00:00:00 [kworker/1:1H-kblockd]
root          51       2  0 00:23 ?        00:00:01 [kswapd0]
root          52       2  0 00:23 ?        00:00:00 [ecryptfs-kthread]
root          53       2  0 00:23 ?        00:00:00 [kworker/R-kthro]
root          54       2  0 00:23 ?        00:00:00 [kworker/R-acpi_]
root          55       2  0 00:23 ?        00:00:00 [scsi_eh_0]
root          56       2  0 00:23 ?        00:00:00 [kworker/R-scsi_]
root          57       2  0 00:23 ?        00:00:00 [scsi_eh_1]
root          58       2  0 00:23 ?        00:00:00 [kworker/R-scsi_]
root          62       2  0 00:23 ?        00:00:00 [kworker/R-mld]
root          63       2  0 00:23 ?        00:00:00 [kworker/R-ipv6_]
root          70       2  0 00:23 ?        00:00:00 [kworker/R-kstrp]
root          72       2  0 00:23 ?        00:00:00 [kworker/u5:0-ttm]
root          85       2  0 00:23 ?        00:00:00 [kworker/R-charg]
root          86       2  0 00:23 ?        00:00:00 [kworker/1:2-events]
root         112       2  0 00:23 ?        00:00:00 [kworker/0:1H]
root         136       2  0 00:23 ?        00:00:00 [scsi_eh_2]
root         137       2  0 00:23 ?        00:00:00 [kworker/R-scsi_]
root         183       2  0 00:23 ?        00:00:00 [jbd2/sda2-8]
root         184       2  0 00:23 ?        00:00:00 [kworker/R-ext4-]
